motor_id,pair_id,row,col,layer,layer_code,plane_code,plane_name,esc_type,motor_index,host_index,controller,controller_index,channel,channel_index,pico_pwm_pin,signed_alias,location
F01,P01,1,1,Front,F,FP,Front Plane,Pichler XQ-45,0,0,C01,0,CH1,0,GP0,+01,R1C1F
F02,P02,1,2,Front,F,FP,Front Plane,Pichler XQ-45,1,1,C09,8,CH1,0,GP0,+02,R1C2F
F03,P03,1,3,Front,F,FP,Front Plane,Pichler XQ-45,2,2,C09,8,CH3,2,GP2,+03,R1C3F
F04,P04,1,4,Front,F,FP,Front Plane,Pichler XQ-45,3,3,C01,0,CH3,2,GP2,+04,R1C4F
F05,P05,1,5,Front,F,FP,Front Plane,Pichler XQ-45,4,4,C05,4,CH1,0,GP0,+05,R1C5F
F06,P06,1,6,Front,F,FP,Front Plane,Pichler XQ-45,5,5,C13,12,CH1,0,GP0,+06,R1C6F
F07,P07,1,7,Front,F,FP,Front Plane,Pichler XQ-45,6,6,C13,12,CH3,2,GP2,+07,R1C7F
F08,P08,1,8,Front,F,FP,Front Plane,Pichler XQ-45,7,7,C05,4,CH3,2,GP2,+08,R1C8F
F09,P09,2,1,Front,F,FP,Front Plane,Pichler XQ-45,8,8,C01,0,CH5,4,GP4,+09,R2C1F
F10,P10,2,2,Front,F,FP,Front Plane,Pichler XQ-45,9,9,C09,8,CH5,4,GP4,+10,R2C2F
F11,P11,2,3,Front,F,FP,Front Plane,Pichler XQ-45,10,10,C09,8,CH7,6,GP6,+11,R2C3F
F12,P12,2,4,Front,F,FP,Front Plane,Pichler XQ-45,11,11,C01,0,CH7,6,GP6,+12,R2C4F
F13,P13,2,5,Front,F,FP,Front Plane,Pichler XQ-45,12,12,C05,4,CH5,4,GP4,+13,R2C5F
F14,P14,2,6,Front,F,FP,Front Plane,Pichler XQ-45,13,13,C13,12,CH5,4,GP4,+14,R2C6F
F15,P15,2,7,Front,F,FP,Front Plane,Pichler XQ-45,14,14,C13,12,CH7,6,GP6,+15,R2C7F
F16,P16,2,8,Front,F,FP,Front Plane,Pichler XQ-45,15,15,C05,4,CH7,6,GP6,+16,R2C8F
F17,P17,3,1,Front,F,FP,Front Plane,Pichler XQ-45,16,16,C02,1,CH1,0,GP0,+17,R3C1F
F18,P18,3,2,Front,F,FP,Front Plane,Pichler XQ-45,17,17,C10,9,CH1,0,GP0,+18,R3C2F
F19,P19,3,3,Front,F,FP,Front Plane,Pichler XQ-45,18,18,C10,9,CH3,2,GP2,+19,R3C3F
F20,P20,3,4,Front,F,FP,Front Plane,Pichler XQ-45,19,19,C02,1,CH3,2,GP2,+20,R3C4F
F21,P21,3,5,Front,F,FP,Front Plane,Pichler XQ-45,20,20,C06,5,CH1,0,GP0,+21,R3C5F
F22,P22,3,6,Front,F,FP,Front Plane,Pichler XQ-45,21,21,C14,13,CH1,0,GP0,+22,R3C6F
F23,P23,3,7,Front,F,FP,Front Plane,Pichler XQ-45,22,22,C14,13,CH3,2,GP2,+23,R3C7F
F24,P24,3,8,Front,F,FP,Front Plane,Pichler XQ-45,23,23,C06,5,CH3,2,GP2,+24,R3C8F
F25,P25,4,1,Front,F,FP,Front Plane,Pichler XQ-45,24,24,C02,1,CH5,4,GP4,+25,R4C1F
F26,P26,4,2,Front,F,FP,Front Plane,Pichler XQ-45,25,25,C10,9,CH5,4,GP4,+26,R4C2F
F27,P27,4,3,Front,F,FP,Front Plane,Pichler XQ-45,26,26,C10,9,CH7,6,GP6,+27,R4C3F
F28,P28,4,4,Front,F,FP,Front Plane,Pichler XQ-45,27,27,C02,1,CH7,6,GP6,+28,R4C4F
F29,P29,4,5,Front,F,FP,Front Plane,Pichler XQ-45,28,28,C06,5,CH5,4,GP4,+29,R4C5F
F30,P30,4,6,Front,F,FP,Front Plane,Pichler XQ-45,29,29,C14,13,CH5,4,GP4,+30,R4C6F
F31,P31,4,7,Front,F,FP,Front Plane,Pichler XQ-45,30,30,C14,13,CH7,6,GP6,+31,R4C7F
F32,P32,4,8,Front,F,FP,Front Plane,Pichler XQ-45,31,31,C06,5,CH7,6,GP6,+32,R4C8F
F33,P33,5,1,Front,F,FP,Front Plane,Pichler XQ-45,32,32,C03,2,CH1,0,GP0,+33,R5C1F
F34,P34,5,2,Front,F,FP,Front Plane,Pichler XQ-45,33,33,C11,10,CH1,0,GP0,+34,R5C2F
F35,P35,5,3,Front,F,FP,Front Plane,Pichler XQ-45,34,34,C11,10,CH3,2,GP2,+35,R5C3F
F36,P36,5,4,Front,F,FP,Front Plane,Pichler XQ-45,35,35,C03,2,CH3,2,GP2,+36,R5C4F
F37,P37,5,5,Front,F,FP,Front Plane,Pichler XQ-45,36,36,C07,6,CH1,0,GP0,+37,R5C5F
F38,P38,5,6,Front,F,FP,Front Plane,Pichler XQ-45,37,37,C15,14,CH1,0,GP0,+38,R5C6F
F39,P39,5,7,Front,F,FP,Front Plane,Pichler XQ-45,38,38,C15,14,CH3,2,GP2,+39,R5C7F
F40,P40,5,8,Front,F,FP,Front Plane,Pichler XQ-45,39,39,C07,6,CH3,2,GP2,+40,R5C8F
F41,P41,6,1,Front,F,FP,Front Plane,Pichler XQ-45,40,40,C03,2,CH5,4,GP4,+41,R6C1F
F42,P42,6,2,Front,F,FP,Front Plane,Pichler XQ-45,41,41,C11,10,CH5,4,GP4,+42,R6C2F
F43,P43,6,3,Front,F,FP,Front Plane,Pichler XQ-45,42,42,C11,10,CH7,6,GP6,+43,R6C3F
F44,P44,6,4,Front,F,FP,Front Plane,Pichler XQ-45,43,43,C03,2,CH7,6,GP6,+44,R6C4F
F45,P45,6,5,Front,F,FP,Front Plane,Pichler XQ-45,44,44,C07,6,CH5,4,GP4,+45,R6C5F
F46,P46,6,6,Front,F,FP,Front Plane,Pichler XQ-45,45,45,C15,14,CH5,4,GP4,+46,R6C6F
F47,P47,6,7,Front,F,FP,Front Plane,Pichler XQ-45,46,46,C15,14,CH7,6,GP6,+47,R6C7F
F48,P48,6,8,Front,F,FP,Front Plane,Pichler XQ-45,47,47,C07,6,CH7,6,GP6,+48,R6C8F
F49,P49,7,1,Front,F,FP,Front Plane,Pichler XQ-45,48,48,C04,3,CH1,0,GP0,+49,R7C1F
F50,P50,7,2,Front,F,FP,Front Plane,Pichler XQ-45,49,49,C12,11,CH1,0,GP0,+50,R7C2F
F51,P51,7,3,Front,F,FP,Front Plane,Pichler XQ-45,50,50,C12,11,CH3,2,GP2,+51,R7C3F
F52,P52,7,4,Front,F,FP,Front Plane,Pichler XQ-45,51,51,C04,3,CH3,2,GP2,+52,R7C4F
F53,P53,7,5,Front,F,FP,Front Plane,Pichler XQ-45,52,52,C08,7,CH1,0,GP0,+53,R7C5F
F54,P54,7,6,Front,F,FP,Front Plane,Pichler XQ-45,53,53,C16,15,CH1,0,GP0,+54,R7C6F
F55,P55,7,7,Front,F,FP,Front Plane,Pichler XQ-45,54,54,C16,15,CH3,2,GP2,+55,R7C7F
F56,P56,7,8,Front,F,FP,Front Plane,Pichler XQ-45,55,55,C08,7,CH3,2,GP2,+56,R7C8F
F57,P57,8,1,Front,F,FP,Front Plane,Pichler XQ-45,56,56,C04,3,CH5,4,GP4,+57,R8C1F
F58,P58,8,2,Front,F,FP,Front Plane,Pichler XQ-45,57,57,C12,11,CH5,4,GP4,+58,R8C2F
F59,P59,8,3,Front,F,FP,Front Plane,Pichler XQ-45,58,58,C12,11,CH7,6,GP6,+59,R8C3F
F60,P60,8,4,Front,F,FP,Front Plane,Pichler XQ-45,59,59,C04,3,CH7,6,GP6,+60,R8C4F
F61,P61,8,5,Front,F,FP,Front Plane,Pichler XQ-45,60,60,C08,7,CH5,4,GP4,+61,R8C5F
F62,P62,8,6,Front,F,FP,Front Plane,Pichler XQ-45,61,61,C16,15,CH5,4,GP4,+62,R8C6F
F63,P63,8,7,Front,F,FP,Front Plane,Pichler XQ-45,62,62,C16,15,CH7,6,GP6,+63,R8C7F
F64,P64,8,8,Front,F,FP,Front Plane,Pichler XQ-45,63,63,C08,7,CH7,6,GP6,+64,R8C8F
B01,P01,1,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,64,64,C01,0,CH2,1,GP1,-01,R1C1B
B02,P02,1,2,Back,B,BP,Back Plane,T-MOTOR AIR 40,65,65,C09,8,CH2,1,GP1,-02,R1C2B
B03,P03,1,3,Back,B,BP,Back Plane,T-MOTOR AIR 40,66,66,C09,8,CH4,3,GP3,-03,R1C3B
B04,P04,1,4,Back,B,BP,Back Plane,T-MOTOR AIR 40,67,67,C01,0,CH4,3,GP3,-04,R1C4B
B05,P05,1,5,Back,B,BP,Back Plane,T-MOTOR AIR 40,68,68,C05,4,CH2,1,GP1,-05,R1C5B
B06,P06,1,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,69,69,C13,12,CH2,1,GP1,-06,R1C6B
B07,P07,1,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,70,70,C13,12,CH4,3,GP3,-07,R1C7B
B08,P08,1,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,71,71,C05,4,CH4,3,GP3,-08,R1C8B
B09,P09,2,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,72,72,C01,0,CH6,5,GP5,-09,R2C1B
